Year,Population,Age Group,Year Group
1980,379611,Juvenile,1980-1984
1981,380535,Juvenile,1980-1984
1982,379180,Juvenile,1980-1984
1983,378152,Juvenile,1980-1984
1984,374515,Juvenile,1980-1984
1985,372734,Juvenile,1985-1989
1986,369585,Juvenile,1985-1989
1987,367668,Juvenile,1985-1989
1988,360255,Juvenile,1985-1989
1989,355354,Juvenile,1985-1989
1990,355862,Juvenile,1990-1994
1991,367231,Juvenile,1990-1994
1992,381550,Juvenile,1990-1994
1993,396675,Juvenile,1990-1994
1994,411405,Juvenile,1990-1994
1995,425421,Juvenile,1995-1999
1996,438447,Juvenile,1995-1999
1997,451896,Juvenile,1995-1999
1998,467035,Juvenile,1995-1999
1999,482879,Juvenile,1995-1999
2000,499995,Juvenile,2000-2004
2001,510740,Juvenile,2000-2004
2002,515931,Juvenile,2000-2004
2003,518561,Juvenile,2000-2004
2004,518964,Juvenile,2000-2004
2005,519729,Juvenile,2005-2009
2006,523931,Juvenile,2005-2009
2007,527950,Juvenile,2005-2009
2008,529031,Juvenile,2005-2009
2009,531241,Juvenile,2005-2009
2010,534850,Juvenile,2010-2014
2011,539149,Juvenile,2010-2014
2012,543783,Juvenile,2010-2014
2013,550916,Juvenile,2010-2014
2014,559214,Juvenile,2010-2014
2015,569378,Juvenile,2015-2019
2016,577526,Juvenile,2015-2019
2017,585847,Juvenile,2015-2019
1980,2097530,Adult,1980-1984
1981,2159216,Adult,1980-1984
1982,2230324,Adult,1980-1984
1983,2285869,Adult,1980-1984
1984,2315719,Adult,1980-1984
1985,2346049,Adult,1985-1989
1986,2367485,Adult,1985-1989
1987,2383670,Adult,1985-1989
1988,2390616,Adult,1985-1989
1989,2409125,Adult,1985-1989
1990,2437182,Adult,1990-1994
1991,2497030,Adult,1990-1994
1992,2579930,Adult,1990-1994
1993,2667855,Adult,1990-1994
1994,2749189,Adult,1990-1994
1995,2824583,Adult,1995-1999
1996,2894909,Adult,1995-1999
1997,2966572,Adult,1995-1999
1998,3048002,Adult,1995-1999
1999,3135003,Adult,1995-1999
2000,3229650,Adult,2000-2004
2001,3315626,Adult,2000-2004
2002,3366887,Adult,2000-2004
2003,3410632,Adult,2000-2004
2004,3457311,Adult,2000-2004
2005,3503135,Adult,2005-2009
2006,3569324,Adult,2005-2009
2007,3628969,Adult,2005-2009
2008,3695673,Adult,2005-2009
2009,3760623,Adult,2005-2009
2010,3822317,Adult,2010-2014
2011,3889437,Adult,2010-2014
2012,3959235,Adult,2010-2014
2013,4032582,Adult,2010-2014
2014,4108545,Adult,2010-2014
2015,4195531,Adult,2015-2019
2016,4278527,Adult,2015-2019
2017,4364301,Adult,2015-2019